Periodo;Llegadas de Pasajeros Nacionales;Llegada de Pasajeros Internacionales;Llegada Total de Pasajeros
2012; 5.163.153 ; 942.757 ; 6.105.910 
2013; 5.458.918 ; 958.837 ; 6.417.755 
2014; 6.093.015 ; 1.035.516 ; 7.128.531 
2015; 7.144.856 ; 1.317.061 ; 8.461.917 
2016; 7.917.628 ; 1.260.905 ; 9.178.533 
2017; 8.501.756 ; 1.269.874 ; 9.771.630 
2018; 9.401.392 ; 1.331.794 ; 10.733.186 
2019; 9.756.566 ; 1.419.989 ; 11.176.555 
2020; 4.488.172 ; 505.998 ; 4.994.170 
2021; 6.975.309 ; 1.294.525 ; 8.269.834 
2022; 9.545.231 ; 1.397.955 ; 10.943.186 
2023; 11.477.278 ; 1.849.658 ; 13.326.936 
2024; 11.356.769 ; 2.224.830 ; 13.581.599 
