anio,mes,pasajeros_nacionales,pasajeros_internacionales
2015,enero,1893323,1000477
2015,febrero,1763475,805988
2015,marzo,2108953,1007997
2015,abril,2094765,985724
2015,mayo,2174191,1043699
2015,junio,2117281,1082002
2015,julio,2432123,1278519
2015,agosto,2317500,1214291
2015,septiembre,2025041,984372
2015,octubre,2210263,1055171
2015,noviembre,2243446,1066251
2015,diciembre,2294195,1233965
2016,enero,2042278,1146908
2016,febrero,1916392,943904
2016,marzo,2228391,1128446
2016,abril,2169737,1018704
2016,mayo,2309229,1111301
2016,junio,2285811,1191882
2016,julio,2627628,1406212
2016,agosto,2464944,1306071
2016,septiembre,2204456,1105421
2016,octubre,2376996,1169200
2016,noviembre,2446460,1172549
2016,diciembre,2581849,1355485
2017,enero,2350477,1263032
2017,febrero,2115415,1016715
2017,marzo,2420395,1199502
2017,abril,2430948,1274541
2017,mayo,2523577,1239106
2017,junio,2472205,1332941
2017,julio,2638665,1572666
2017,agosto,2526005,1478356
2017,septiembre,2121745,1225712
2017,octubre,2444206,1273064
2017,noviembre,2461475,1347917
2017,diciembre,2473950,1529803
2018,enero,2384398,1445790
2018,febrero,2182951,1179142
2018,marzo,2503383,1414406
2018,abril,2536990,1343245
2018,mayo,2580126,1382537
2018,junio,2482445,1435450
2018,julio,2762304,1686296
2018,agosto,2652795,1573600
2018,septiembre,2423664,1330916
2018,octubre,2638358,1421623
2018,noviembre,2654408,1430735
2018,diciembre,2693901,1561084
2019,enero,2475272,1478636
2019,febrero,2295334,1220785
2019,marzo,2701629,1420966
2019,abril,2710108,1417176
2019,mayo,2888679,1458517
2019,junio,2737288,1523507
2019,julio,2909281,1719871
2019,agosto,2818976,1612822
2019,septiembre,2547252,1366844
2019,octubre,2847683,1402260
2019,noviembre,2823194,1428930
2019,diciembre,2905571,1597468
2020,enero,2712015,1499446
2020,febrero,2541606,1282235
2020,marzo,1862762,805611
2020,abril,241842,53812
2020,mayo,224490,51485
2020,junio,462724,96268
2020,julio,860708,171783
2020,agosto,1110884,238634
2020,septiembre,1254501,253559
2020,octubre,1503841,348718
2020,noviembre,1633001,411802
2020,diciembre,1778462,581522
2021,enero,1561618,514223
2021,febrero,1297261,318326
2021,marzo,1844489,509332
2021,abril,1962856,662767
2021,mayo,2163486,869581
2021,junio,2218081,916682
2021,julio,2507482,1085342
2021,agosto,2310771,1043640
2021,septiembre,2087632,904816
2021,octubre,2470386,1038143
2021,noviembre,2616184,1094052
2021,diciembre,2843479,1215985
2022,enero,2211936,1037551
2022,febrero,2128695,879621
2022,marzo,2697017,1132244
2022,abril,2809483,1197314
2022,mayo,2497510,1091787
2022,junio,2358791,1141085
2022,julio,2903249,1442079
2022,agosto,2929251,1387694
2022,septiembre,2643605,1223979
2022,octubre,2869557,1311681
2022,noviembre,2783628,1335994
2022,diciembre,2861866,1382904
2023,enero,2643981,1353011
2023,febrero,2410169,1151877
2023,marzo,2807948,1321653
2023,abril,2718642,1282923
2023,mayo,2644740,1282818
2023,junio,2614584,1306446
2023,julio,2804493,1524567
2023,agosto,2835955,1472737
2023,septiembre,2540205,1289294
2023,octubre,2662542,1378972
2023,noviembre,2698781,1410540
2023,diciembre,2700919,1557896
2024,enero,2342459,1452481
2024,febrero,2222709,1265806
2024,marzo,2343242,1437728
2024,abril,2360885,1331138
2024,mayo,2474461,1372828
2024,junio,2334581,1382736
2024,julio,2519077,1599384
2024,agosto,2491704,1507061
2024,septiembre,2262336,1332970
2024,octubre,2313552,1402590
2024,noviembre,2251255,1456751
2024,diciembre,2326899,1574852
2025,enero,2252082,1463026
2025,febrero,2044415,1202908
2025,marzo,2297610,1404061
2025,abril,2256172,1426510
2025,mayo,2300142,1389497
2025,junio,2200053,1410652
2025,julio,2380496,1639154
2025,agosto,2369546,1567056
2025,septiembre,2183791,1366763
2025,octubre,2280909,1466157
2025,noviembre,2252105,1518622
2025,diciembre,2306109,1627740
2026,enero,2218147,1545153
