anio,mes,pasajeros_llegadas_nacionales_t1,pasajeros_salidas_nacionales_t1,pasajeros_llegadas_internacionales_t1,pasajeros_salidas_internacionales_t1,pasajeros_llegadas_nacionales_t2,pasajeros_salidas_nacionales_t2,pasajeros_llegadas_internacionales_t2,pasajeros_salidas_internacionales_t2
2016,enero,601228,575217,297520,297048,445182,420651,276085,276255
2016,febrero,544764,536391,250027,241995,420518,414719,226776,225106
2016,marzo,627368,652536,288466,308371,472482,476005,255026,276583
2016,abril,607440,607641,265673,263748,480163,474493,243453,245830
2016,mayo,650254,657182,278818,286758,504586,497207,271197,274528
2016,junio,654873,661496,315421,302408,484644,484798,288764,285289
2016,julio,768492,779928,362311,379287,538390,540818,326113,338501
2016,agosto,725643,724185,343349,333053,516494,498622,319920,309749
2016,septiembre,635656,642562,282978,291405,465820,460418,264104,266934
2016,octubre,679298,694638,317215,292529,498776,504284,288324,271132
2016,noviembre,719621,723678,321948,301360,505756,497405,279811,269430
2016,diciembre,766064,794014,379057,347869,496109,525662,323788,304771
2017,enero,719425,681979,328234,327618,490941,458132,304592,302588
2017,febrero,613336,613187,260995,256652,447612,441280,248354,250714
2017,marzo,705298,717069,305283,316921,504419,493609,280534,296764
2017,abril,709522,724274,316682,336942,501998,495154,302474,318443
2017,mayo,738014,737533,320346,323289,526500,521530,297175,298296
2017,junio,708986,718435,354698,335437,519512,525272,323810,318996
2017,julio,755631,772953,401123,414848,553754,556327,373789,382906
2017,agosto,733987,735374,376369,378980,535415,521229,368573,354434
2017,septiembre,606154,614549,302642,318744,450199,450843,301053,303273
2017,octubre,686887,702117,342394,307213,520895,534307,326390,297067
2017,noviembre,714138,725165,355813,336202,506949,515223,336401,319501
2017,diciembre,708715,741310,422425,384704,492685,531240,374925,347749
2018,enero,688428,663129,378737,380371,526424,506417,349428,337254
2018,febrero,609432,617553,303855,304556,479237,476729,284803,285928
2018,marzo,700703,737463,357214,395873,531034,534183,317965,343354
2018,abril,728511,727803,358383,358962,546689,533987,314964,310936
2018,mayo,741344,745391,367202,370905,550464,542927,320205,324225
2018,junio,706167,710242,394392,371997,532530,533506,340556,328505
2018,julio,782041,802894,456699,477994,587111,590258,372511,379092
2018,agosto,774563,775548,425941,428057,555436,547248,361182,358420
2018,septiembre,700300,698919,344836,354819,514968,509477,311222,320039
2018,octubre,759010,787802,403155,360136,535645,555901,344813,313519
2018,noviembre,793265,799848,395414,382516,531688,529607,332664,320141
2018,diciembre,785644,815452,446592,401187,529381,563424,368403,344902
2019,enero,733693,716197,394897,403683,525640,499742,342971,337085
2019,febrero,666416,678080,326035,315922,475918,474920,292026,286802
2019,marzo,797478,803292,370420,390390,556820,544039,325283,334873
2019,abril,826750,847501,373994,398755,517586,518271,317408,327019
2019,mayo,882728,900630,387944,399349,553008,552313,333060,338164
2019,junio,851400,859760,416099,400388,513859,512269,357830,349190
2019,julio,890721,911716,455554,475185,548497,558347,394785,394347
2019,agosto,871536,874182,436758,436699,543390,529868,372951,366414
2019,septiembre,776863,780714,360714,370219,498225,491450,316215,319696
2019,octubre,836329,861761,420672,373630,567200,582393,323172,284786
2019,noviembre,851626,867627,417224,406110,550465,553476,308444,297152
2019,diciembre,892367,913907,451202,428741,532157,567140,372816,344709
2020,enero,846284,840214,408303,408802,524645,500872,344779,337562
2020,febrero,781723,781165,358381,350702,491099,487619,290344,282808
2020,marzo,575260,568156,209746,234009,366487,352859,177152,184704
2020,abril,65722,46831,13749,19728,68804,60485,9146,11189
2020,mayo,51815,51342,18009,18236,61679,59654,7687,7553
2020,junio,122881,133077,26713,29689,101630,105136,20518,19348
2020,julio,219661,226316,40686,48850,203813,210918,40865,41382
2020,agosto,297359,291360,52059,60937,263180,258985,61798,63840
2020,septiembre,325710,328553,58034,60648,298991,301247,69145,65732
2020,octubre,378716,382819,85970,74380,366505,375801,99588,88780
2020,noviembre,423641,433556,104057,96436,384796,391008,110069,101240
2020,diciembre,454461,466538,155650,114501,415547,441916,170957,140414
2021,enero,366874,361935,92664,130179,425039,407770,136760,154620
2021,febrero,281527,284095,58258,64767,366088,365551,95595,99706
2021,marzo,438521,467156,109616,128721,461318,477494,137006,133989
2021,abril,517125,506532,160616,181718,475015,464184,164661,155772
2021,mayo,560449,565241,217544,225147,519081,518715,221008,205882
2021,junio,568558,571842,229358,234193,537160,540521,235089,218042
2021,julio,626866,634323,264958,280662,618610,627683,277242,262480
2021,agosto,604352,597767,234079,263369,556485,552167,279336,266856
2021,septiembre,544870,555245,206812,213987,486068,501449,247485,236532
2021,octubre,639625,653538,269633,246060,578074,599149,277275,245175
2021,noviembre,711457,729357,290106,274196,577254,598116,279396,250354
2021,diciembre,806680,820756,337217,272582,597505,618538,327802,278384
2022,enero,703833,715284,257031,272823,400943,391876,257357,250340
2022,febrero,666122,687935,218269,216025,382613,392025,224779,220548
2022,marzo,819127,825276,270650,285725,526424,526190,291078,284791
2022,abril,776476,893114,299391,302394,600801,539092,295000,300529
2022,mayo,755178,668692,293680,277139,670390,403250,318637,202331
2022,junio,678780,603908,321447,277309,677711,398392,340471,201858
2022,julio,822217,834604,351767,358044,615558,630870,365809,366459
2022,agosto,834828,845316,330718,337819,625824,623283,354888,364269
2022,septiembre,747833,760660,308196,310048,563870,571242,303668,302067
2022,octubre,816665,826830,351594,315039,607716,618346,345224,299824
2022,noviembre,754779,770993,347741,345046,621444,636412,329705,313502
2022,diciembre,794016,808839,358801,326862,621611,637400,367209,330032
2023,enero,747184,753928,330946,334024,571446,571423,349028,339013
2023,febrero,671061,688636,289160,290617,521047,529425,290147,281953
2023,marzo,780204,798635,318317,344214,613603,615506,320284,338838
2023,abril,753456,759824,316311,334206,603140,602222,311608,320798
2023,mayo,706696,720354,314150,325605,606646,611044,318536,324527
2023,junio,662921,673959,327794,315414,638593,639111,331790,331448
2023,julio,705406,720334,355194,365953,687574,691179,393914,409506
2023,agosto,723519,735802,353734,350949,690200,686434,389041,379013
2023,septiembre,573154,583760,318636,320816,692028,691263,323936,325906
2023,octubre,594525,618705,371556,322667,714952,734360,364754,319995
2023,noviembre,640310,662135,356253,347278,686656,709680,363832,343177
2023,diciembre,655758,666742,366567,343873,671473,706946,441543,405913
2024,enero,552837,567542,335166,340984,611866,610214,396976,379355
2024,febrero,482694,499536,301723,299260,612624,627855,334333,330490
2024,marzo,491319,509641,327035,359128,662502,679780,361408,390157
2024,abril,465023,481457,312265,313859,703520,710885,355645,349369
2024,mayo,500445,513475,319652,324994,726132,734409,366493,361689
2024,junio,479391,490457,321275,320459,679116,685617,375464,365538
2024,julio,503452,519522,353993,371491,742026,754077,431409,442491
2024,agosto,513316,524192,351522,342640,726342,727854,416529,396370
2024,septiembre,476256,484892,312986,325816,652245,648943,346481,347687
2024,octubre,481172,492236,368440,314854,663768,676376,385885,333411
2024,noviembre,471992,489637,367071,359971,639142,650484,371784,357925
2024,diciembre,499876,506128,403772,372885,654458,666437,415299,382896
2025,enero,483942,491905,340803,351662,643699,632536,390875,379686
2025,febrero,458769,461043,288389,287925,566663,557940,314753,311841
2025,marzo,509233,503662,329716,345689,648390,636325,358945,369711
2025,abril,473726,480120,314984,344066,651209,651117,373116,394344
2025,mayo,487794,483635,319610,333266,667766,660947,368784,367837
2025,junio,461101,457744,343771,332407,642046,639162,375640,358834
2025,julio,496989,501793,379306,398647,687619,694095,423140,438061
2025,agosto,519483,517433,390321,377961,672779,659851,410638,388136
2025,septiembre,480638,481969,349010,357210,608454,612730,329070,331473
2025,octubre,497928,497496,440237,376643,641415,644070,346524,302753
2025,noviembre,478682,483050,430541,425248,638000,652373,337619,325214
2025,diciembre,489308,483215,454751,431836,659922,673664,381717,359436
2026,enero,483681,488818,415357,414634,625828,619820,363877,351285
