anio,mes,operaciones_vuelos_nacionales,operaciones_vuelos_internacionales
2015,enero,26038,9184
2015,febrero,23438,7952
2015,marzo,26704,9170
2015,abril,26019,9047
2015,mayo,26515,9432
2015,junio,25030,9388
2015,julio,27207,10160
2015,agosto,27083,9995
2015,septiembre,25224,9036
2015,octubre,27026,9553
2015,noviembre,26612,9457
2015,diciembre,27202,10289
2016,enero,26250,10035
2016,febrero,24888,9101
2016,marzo,26619,10118
2016,abril,26848,9681
2016,mayo,28081,9948
2016,junio,26838,9949
2016,julio,28596,10692
2016,agosto,28186,10438
2016,septiembre,26489,9663
2016,octubre,28747,10103
2016,noviembre,27683,10019
2016,diciembre,28051,11127
2017,enero,27631,10794
2017,febrero,24649,9590
2017,marzo,27190,10812
2017,abril,26578,10897
2017,mayo,27757,10963
2017,junio,26320,10985
2017,julio,26632,11846
2017,agosto,26399,11656
2017,septiembre,24635,10924
2017,octubre,26346,11493
2017,noviembre,25682,11644
2017,diciembre,25590,12651
2018,enero,26071,12215
2018,febrero,23617,10505
2018,marzo,26838,12007
2018,abril,26471,11466
2018,mayo,27627,11699
2018,junio,25774,11624
2018,julio,26976,12394
2018,agosto,27446,12342
2018,septiembre,25597,11276
2018,octubre,27691,11743
2018,noviembre,27000,11373
2018,diciembre,26725,12226
2019,enero,26409,11752
2019,febrero,24199,10113
2019,marzo,26306,11365
2019,abril,26432,11195
2019,mayo,28095,11424
2019,junio,26294,11383
2019,julio,28249,12195
2019,agosto,27868,12006
2019,septiembre,26123,10762
2019,octubre,28114,10945
2019,noviembre,27664,10897
2019,diciembre,28105,12092
2020,enero,28099,11418
2020,febrero,24848,10211
2020,marzo,21176,8324
2020,abril,4681,1745
2020,mayo,4210,1680
2020,junio,6537,2119
2020,julio,10810,2794
2020,agosto,13384,3525
2020,septiembre,14055,3569
2020,octubre,16194,4310
2020,noviembre,16742,4924
2020,diciembre,17511,6501
2021,enero,17448,6598
2021,febrero,13790,5062
2021,marzo,16993,5651
2021,abril,18824,6346
2021,mayo,19327,7449
2021,junio,19717,7653
2021,julio,21736,8485
2021,agosto,22053,8558
2021,septiembre,19402,8022
2021,octubre,21695,8457
2021,noviembre,22556,8509
2021,diciembre,24029,9529
2022,enero,21346,9088
2022,febrero,19163,7875
2022,marzo,22616,9111
2022,abril,23282,9569
2022,mayo,23614,9924
2022,junio,22812,9906
2022,julio,24035,10167
2022,agosto,24405,10183
2022,septiembre,22405,9237
2022,octubre,23776,9700
2022,noviembre,22517,9822
2022,diciembre,22534,10363
2023,enero,21811,10137
2023,febrero,19356,8825
2023,marzo,21966,9656
2023,abril,21070,9087
2023,mayo,20855,9452
2023,junio,20846,9255
2023,julio,21010,9929
2023,agosto,21246,9585
2023,septiembre,20581,8340
2023,octubre,21470,8666
2023,noviembre,20816,8815
2023,diciembre,20407,10090
2024,enero,17953,9320
2024,febrero,17341,8440
2024,marzo,17916,9287
2024,abril,18299,8600
2024,mayo,18973,8789
2024,junio,17960,8705
2024,julio,18089,9570
2024,agosto,18695,9335
2024,septiembre,17237,8512
2024,octubre,18057,8841
2024,noviembre,16832,9001
2024,diciembre,16981,9694
2025,enero,17143,9791
2025,febrero,15768,8672
2025,marzo,16986,9792
2025,abril,16237,9396
2025,mayo,17108,9440
2025,junio,16323,9425
2025,julio,16491,10489
2025,agosto,16457,9920
2025,septiembre,15682,9052
2025,octubre,16626,9636
2025,noviembre,16477,9625
2025,diciembre,16688,10243
2026,enero,16536,9856
